Title,Authors,zbMATH_ID,Keywords,MSCs,Refrences,Full text link
Erratum: Energy-momentum in the viscous Kasner-type universe in teleparallel gravity.,"('Salti, Mustafa',)",5292895,No keywords available,"[{'code': '83D05', 'scheme': 'msc2020', 'text': ""Relativistic gravitational theories other than Einstein's, including asymmetric field theories"", 'text_mathjax': 'Relativistic gravitational theories other than Einstein&rsquo;s, including asymmetric field theories'}, {'code': '83F05', 'scheme': 'msc2020', 'text': 'Relativistic cosmology'}, {'code': '83C40', 'scheme': 'msc2020', 'text': 'Gravitational energy and conservation laws; groups of motions'}]",1,['10.1007/s10509-008-9737-3']
Existence of solutions for some degenerate quasilinear elliptic equations.,"('Cavalheiro, Albo Carlos',)",5693750,"[{'text': 'degenerate quasilinear equations', 'type': 'uncontrolled'}, {'text': 'weighted Sobolev spaces', 'type': 'uncontrolled'}]","[{'code': '35J70', 'scheme': 'msc2020', 'text': 'Degenerate elliptic equations'}, {'code': '35J62', 'scheme': 'msc2020', 'text': 'Quasilinear elliptic equations'}, {'code': '35D30', 'scheme': 'msc2020', 'text': 'Weak solutions to PDEs'}]",1,No doi or fulltext link available
Existence of solutions of systems of generalized implicit vector quasi-equilibrium problems in \(G\)-convex spaces.,"('Plubtieng, Somyot', 'Thammathiwat, Tipphawan')",5989154,"[{'text': 'systems of generalized implicit vector quasi-equilibrium problems', 'type': 'uncontrolled'}, {'text': 'existence results', 'type': 'uncontrolled'}, {'text': 'generalized pseudomonotonicity', 'type': 'uncontrolled'}, {'text': '\\(G\\)-convex space', 'type': 'uncontrolled'}]","[{'code': '47J22', 'scheme': 'msc2020', 'text': 'Variational and other types of inclusions'}, {'code': '47H10', 'scheme': 'msc2020', 'text': 'Fixed-point theorems'}]",2,['10.1016/j.camwa.2011.04.059']
Extremal surface with the light-like line in Minkowski space \(\mathbb{R}^{1+(1+1)}\).,"('Gao, Ruihua', 'Wang, Faxing', 'Zhang, Xiaodan', 'Wang, Yuguang')",6708565,"[{'text': 'classical solution', 'type': 'uncontrolled'}, {'text': 'extremal surface', 'type': 'uncontrolled'}, {'text': 'mixed type equation', 'type': 'uncontrolled'}]","[{'code': '53A10', 'scheme': 'msc2020', 'text': 'Minimal surfaces in differential geometry, surfaces with prescribed mean curvature'}, {'code': '35M10', 'scheme': 'msc2020', 'text': 'PDEs of mixed type'}, {'code': '35B65', 'scheme': 'msc2020', 'text': 'Smoothness and regularity of solutions to PDEs'}]",0,['10.1186/s13661-017-0786-9']
Forced perturbed Korteweg-de Vries equation in an elastic tube filled with a viscous fluid.,"('Tay, Kim Gaik', 'Ong, Cheetiong', 'Mohamad, Mohd. Nor')",5900110,"[{'text': 'solitary waves', 'type': 'uncontrolled'}, {'text': 'elastic tubes with stenosis', 'type': 'uncontrolled'}]","[{'code': '35Q53', 'scheme': 'msc2020', 'text': 'KdV equations (Korteweg-de Vries equations)'}, {'code': '76D33', 'scheme': 'msc2020', 'text': 'Waves for incompressible viscous fluids'}, {'code': '76Z05', 'scheme': 'msc2020', 'text': 'Physiological flows'}]",2,['10.1016/j.ijengsci.2007.03.017']
Fuzzification of ideals and filters in \(\Gamma\)-semigroups.,"('Iampan, A.',)",6257809,"[{'text': 'fuzzy ideals', 'type': 'uncontrolled'}, {'text': 'fuzzy filters', 'type': 'uncontrolled'}, {'text': 'characteristic mappings', 'type': 'uncontrolled'}, {'text': '\\(\\Gamma\\)-semigroups', 'type': 'uncontrolled'}]","[{'code': '20N25', 'scheme': 'msc2020', 'text': 'Fuzzy groups'}, {'code': '20M99', 'scheme': 'msc2020', 'text': 'Semigroups'}]",0,No doi or fulltext link available
Generation of topological chaos in Stokes flow in a rectangular cavity.,"('Meleshko, V. V.', 'Kurylko, O. B.', 'Gourzhyi, A. A.')",6155779,"[{'text': 'advection equation', 'type': 'uncontrolled'}, {'text': 'construction of analytical solution', 'type': 'uncontrolled'}, {'text': 'topological chaos', 'type': 'uncontrolled'}]","[{'code': '76B99', 'scheme': 'msc2020', 'text': 'Incompressible inviscid fluids'}, {'code': '76D05', 'scheme': 'msc2020', 'text': 'Navier-Stokes equations for incompressible viscous fluids'}]",0,['10.1007/s10958-012-0968-z']
Global strong solution to the three-dimensional stochastic incompressible magnetohydrodynamic equations.,"('Tan, Zhong', 'Wang, Dehua', 'Wang, Huaqiao')",6618531,"[{'text': 'existence', 'type': 'uncontrolled'}, {'text': 'uniqueness', 'type': 'uncontrolled'}, {'text': 'multiplicative noise', 'type': 'uncontrolled'}, {'text': 'global existence in probability', 'type': 'uncontrolled'}]","[{'code': '35Q35', 'scheme': 'msc2020', 'text': 'PDEs in connection with fluid mechanics'}, {'code': '76N10', 'scheme': 'msc2020', 'text': 'Existence, uniqueness, and regularity theory for compressible fluids and gas dynamics'}, {'code': '76W05', 'scheme': 'msc2020', 'text': 'Magnetohydrodynamics and electrohydrodynamics'}, {'code': '35R60', 'scheme': 'msc2020', 'text': 'PDEs with randomness, stochastic partial differential equations'}]",4,['10.1007/s00208-015-1296-7']
Growth of polynomials with prescribed zeros.,"('Pukhta, M. S.',)",6145523,"[{'text': 'extremal problems', 'type': 'uncontrolled'}, {'text': 'polynomial', 'type': 'uncontrolled'}, {'text': 'Zygmund inequality', 'type': 'uncontrolled'}, {'text': 'zeros', 'type': 'uncontrolled'}]","[{'code': '30A10', 'scheme': 'msc2020', 'text': 'Inequalities in the complex plane'}, {'code': '30C10', 'scheme': 'msc2020', 'text': 'Polynomials and rational functions of one complex variable'}, {'code': '30C15', 'scheme': 'msc2020', 'text': 'Zeros of polynomials, rational functions, and other analytic functions of one complex variable (e.g., zeros of functions with bounded Dirichlet integral)'}]",0,['10.1134/S1995080212020102']
Lightlike hypersurfaces in semi-Riemannian manifold with semi-symmetric non-metric connection.,"('Yaşar, Erol', 'Çöken, A. Ceylan', 'Yücesan, Ahmet')",5361563,No keywords available,"[{'code': '53C40', 'scheme': 'msc2020', 'text': 'Global submanifolds'}, {'code': '53C50', 'scheme': 'msc2020', 'text': 'Global differential geometry of Lorentz manifolds, manifolds with indefinite metrics'}]",3,['10.7146/math.scand.a-15061']
